source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,j_m,h_m,ks_m,ph_qual
2067481360898841088,306.4053117341057,40.24130973067265,0.6013565485942928,0.08911388,0.9155118,17.807001,2.6354637,19.230942,16.595478,14.445,13.618,13.338,AAA
2067481365198335104,306.4023247304901,40.238256619342906,1.974933580984762,0.015189407,1.0512676,14.25194,1.0757008,14.707664,13.631963,12.898,12.489,12.425,AAA
2067481399557560448,306.43356493491495,40.24325553729019,1.0588760597264522,0.02430039,1.0147899,15.412543,1.1648579,15.905046,14.740189,13.968,13.572,13.558,AAA
2067481498338547456,306.4377529835665,40.265738683582946,0.6069116353639863,0.06927909,1.0504487,17.350994,1.9266586,18.297813,16.371155,14.985,14.455,14.327,AAA
2067481502636778496,306.43417091908117,40.26258322199222,1.0298299139382674,0.015553539,1.0552737,14.209131,1.3740149,14.826816,13.452801,12.504,12.061,11.952,AAA
2067481502636780928,306.4251563592935,40.26851951499184,0.2376465743169283,0.1019863,1.2996012,17.551119,3.2560673,19.619686,16.363619,14.22,13.404,13.161,UAU
2067481532698269824,306.4756604754725,40.24413550741238,0.5453973365329078,0.10445417,1.0651923,17.897038,2.3757172,19.136587,16.76087,14.979,14.105,13.858,AAA
2067481536996506240,306.4742344961777,40.23515826214966,0.6912353630384833,0.080507286,1.0362118,17.376303,2.418661,18.626564,16.207903,14.271,13.482,13.198,AAA
2067481536996507392,306.47461962446266,40.251479705331136,0.4886196249042352,0.023343032,1.1180873,15.053973,1.6218262,15.802344,14.180518,12.845,12.399,12.136,AAA
2067481567058010752,306.4825036846595,40.246338017120074,0.36696547717543637,0.116947114,1.0874932,17.852076,2.7679825,19.363811,16.595829,14.374,13.535,13.162,AAA
2067481571356245248,306.4871013747795,40.257643423413214,1.1472612941443536,0.017590396,0.9575434,14.647717,1.0018597,15.063138,14.061278,13.371,12.988,12.89,AAA
2067481640075723776,306.4747808802028,40.25858227484265,0.35428327289313527,0.026809381,1.067326,15.459559,2.1264343,16.535095,14.408661,12.68,12.092,11.831,AAA
2067481640075724160,306.4812941011858,40.26726744403559,0.4583232353828364,0.09356862,0.9670866,17.659166,2.9854012,19.415024,16.429623,14.095,13.021,12.651,UAA
2067481640075726208,306.470047847394,40.26525622338992,0.31212185070928067,0.042947426,1.0285292,16.19874,3.4683704,18.31662,14.848249,12.293,10.826,10.364,AUU
2067481674435458432,306.4996512093807,40.25685442478872,0.8787118658653357,0.093620785,2.398476,16.271221,1.7668982,17.063625,15.296727,13.956,13.408,13.194,AAA
2067481674435460736,306.4959085341616,40.27589479560732,7.989750555711267,0.03116527,0.99516195,15.876825,2.7240696,17.39947,14.6754,13.003,12.392,12.114,AAA
2067481708790308608,306.5058689734961,40.287291341500556,1.1984322549324455,0.095943846,1.1990407,17.598915,2.278656,18.772924,16.494268,15.1,14.415,14.339,AAA
2067481708795196928,306.5077795791432,40.2678403431018,0.28910543725839943,0.07085637,1.0120577,17.29242,2.0882702,18.315935,16.227665,14.492,13.993,13.707,AAA
2067481708795197824,306.5060411306486,40.27147669261166,0.39051463545145293,0.030276015,1.0272356,15.7996,1.952651,16.754025,14.8013735,13.186,12.624,12.413,AAA
2067481708795198976,306.5050755679382,40.282369143059206,0.9032232767595813,0.039489355,0.9603636,16.388168,1.5600662,17.098885,15.538818,14.376,13.867,13.712,AAA
2067481738856725504,306.4788398770045,40.27934700938298,0.678312882453171,0.04309326,1.0057353,16.539839,1.7029829,17.358713,15.65573,14.368,13.798,13.593,AAA
2067481743154939776,306.49000519843855,40.28118738338985,0.5132920376705061,0.026674088,1.0402151,15.495741,1.7530575,16.329754,14.576696,13.155,12.685,12.434,AAA
2067481743154940416,306.4837967535611,40.27851101285337,0.5526655418709631,0.06510807,0.99005204,17.133036,2.0732746,18.18826,16.114985,14.388,13.856,13.593,AAA
2067481777514679296,306.493290503252,40.290491275388284,0.8441412484769175,0.07649719,0.998013,17.548374,1.7568226,18.402258,16.645435,15.317,14.768,14.5,AAA
2067481811874420736,306.45188571792124,40.26197455650794,0.601275776891465,0.025680957,1.0201043,15.554345,1.7977009,16.4243,14.626598,13.306,12.775,12.605,AAA
2067481811874422272,306.44927225580994,40.26979366843345,0.5942765711802306,0.028798785,1.029081,15.669585,1.5958118,16.414015,14.818203,13.659,13.195,13.067,AAA
2067481841935941120,306.46523396295424,40.28018645417187,0.465100661794238,0.09567944,1.0065725,17.817549,2.3380585,19.078432,16.740374,14.895,14.095,13.885,AAA
2067481846234158848,306.4636789741378,40.27001442143687,0.05467787612000509,0.1284791,1.0064627,17.966812,3.8535118,20.411732,16.55822,13.477,12.117,11.63,AAA
2067481914953640704,306.45151320924583,40.29765736931503,0.489551019305947,0.055992473,1.0502369,16.951332,2.0983143,18.032404,15.93409,14.264,13.602,13.09,AAU
2067481945015164544,306.47933465254033,40.29413940560634,0.9635792771432258,0.105910145,1.0213597,17.936176,2.2227688,19.119843,16.897074,15.406,14.628,14.389,AAA
2067481949313372672,306.47735708520116,40.282627412701245,0.6106083542104146,0.024167674,0.986425,15.339319,1.9529552,16.310474,14.357519,12.847,12.182,11.967,AAA
2067481949313374080,306.47427156296084,40.28429023378074,1.047065822870229,0.08404589,1.3684363,16.964863,1.6978741,17.681168,15.983294,14.671,14.064,13.884,AAA
2067481949313375104,306.47300547239956,40.29223463645428,0.6497587102984309,0.027516207,0.93531936,15.661617,1.6753283,16.455124,14.779796,13.506,13.024,12.83,AAA
2067481983673114496,306.476093836696,40.30278275773745,0.9720773096761289,0.06243872,0.99561334,17.146786,1.6648445,17.964005,16.29916,15.078,14.405,14.4,AAA
2067482018032852992,306.4638486869687,40.290165374708344,0.5850770061422308,0.041068707,0.97475564,16.385647,2.6387749,17.847948,15.209173,13.101,12.107,11.804,AAA
2067482018032853504,306.4641277011694,40.29353331439752,1.5698611766433195,0.017417893,0.9976253,14.557956,1.0421076,14.99664,13.954533,13.295,12.885,12.892,AAA
2067482018032854784,306.46795440077904,40.304947257601,0.5460285889349038,0.04528291,1.0447725,16.579268,2.0924444,17.643116,15.550672,13.858,13.225,12.947,AAA
2067482018032856064,306.4555263054613,40.302581349005756,0.8534712747550933,0.012306713,0.9671423,13.765005,1.1704273,14.265552,13.095124,12.262,11.884,11.757,AAA
2067482048094390400,306.4779038201856,40.31996052920744,1.583184877257074,0.065818384,0.9522625,17.269564,2.0751286,18.358902,16.283773,14.905,14.273,14.074,AAA
